Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 08일(Tue),보헤미안 랩소디,CGV,718,10.2%
2019년 01월 08일(Tue),보헤미안 랩소디,롯데시네마,606,11.8%
2019년 01월 08일(Tue),보헤미안 랩소디,메가박스,424,9.9%
2019년 01월 08일(Tue),보헤미안 랩소디,씨네Q,20,8.6%
2019년 01월 08일(Tue),범블비,CGV,559,8.0%
2019년 01월 08일(Tue),범블비,롯데시네마,508,9.9%
2019년 01월 08일(Tue),범블비,메가박스,434,10.1%
2019년 01월 08일(Tue),범블비,씨네Q,21,9.0%
2019년 01월 09일(Wed),말모이,CGV,1767,25.5%
2019년 01월 09일(Wed),말모이,롯데시네마,1695,32.7%
2019년 01월 09일(Wed),말모이,메가박스,1113,25.6%
2019년 01월 09일(Wed),말모이,씨네Q,61,25.4%
2019년 01월 09일(Wed),주먹왕 랄프 2: 인터넷 속으로,CGV,1240,17.9%
2019년 01월 09일(Wed),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,851,16.4%
2019년 01월 09일(Wed),주먹왕 랄프 2: 인터넷 속으로,메가박스,748,17.2%
2019년 01월 09일(Wed),주먹왕 랄프 2: 인터넷 속으로,씨네Q,40,16.7%
2019년 01월 09일(Wed),내안의 그놈,CGV,850,12.3%
2019년 01월 09일(Wed),내안의 그놈,롯데시네마,813,15.7%
2019년 01월 09일(Wed),내안의 그놈,메가박스,711,16.3%
2019년 01월 09일(Wed),내안의 그놈,씨네Q,35,14.6%
2019년 01월 09일(Wed),아쿠아맨,CGV,998,14.4%
2019년 01월 09일(Wed),아쿠아맨,롯데시네마,686,13.3%
2019년 01월 09일(Wed),아쿠아맨,메가박스,610,14.0%
2019년 01월 09일(Wed),아쿠아맨,씨네Q,40,16.7%
2019년 01월 09일(Wed),보헤미안 랩소디,CGV,453,6.5%
2019년 01월 09일(Wed),보헤미안 랩소디,롯데시네마,367,7.1%
2019년 01월 09일(Wed),보헤미안 랩소디,메가박스,272,6.2%
2019년 01월 09일(Wed),보헤미안 랩소디,씨네Q,14,5.8%
2019년 01월 10일(Thu),말모이,CGV,1732,24.2%
2019년 01월 10일(Thu),말모이,롯데시네마,1656,30.8%
2019년 01월 10일(Thu),말모이,메가박스,1087,24.2%
2019년 01월 10일(Thu),말모이,씨네Q,58,23.6%
2019년 01월 10일(Thu),내안의 그놈,CGV,954,13.3%
