rank_num,title,director,production_comp_name,importer_name,distributor_name,released_date,movie_type,movie_format,country,screen_num,total_sales,audience_num,seoul_total_sales,seoul_audience_num,genre,film_ratings,category
59,브로커,고레에다 히로카즈,영화사 집,,(주)씨제이이엔엠,2022-06-08 00:00:00,개봉영화,장편,한국,1594,12566618030,1258891,3813389090,374115,드라마,12세이상관람가,일반영화
60,해적: 도깨비 깃발,김정훈,(주)어뉴오스카10스튜디오,,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-26 00:00:00,개봉영화,장편,한국,1708,12523963990,1339242,2843506630,319433,어드벤처,12세이상관람가,일반영화
61,서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,2023-11-22 00:00:00,개봉영화,장편,한국,2328,127926951712,13128080,29336875104,2956518,드라마,12세이상관람가,일반영화
62,범죄도시3,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,,주식회사 에이비오엔터테인먼트플러스엠 엔터테인먼트,2023-05-31 00:00:00,개봉영화,장편,한국,2582,104687737771,10682813,22152818269,2215433,범죄,15세이상관람가,일반영화
63,엘리멘탈,피터 손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-06-14 00:00:00,개봉영화,장편,미국,1251,71129945066,7239288,19102254019,1883280,애니메이션,전체관람가,일반영화
64,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2023-01-04 00:00:00,개봉영화,장편,일본,1023,51013572345,4878663,17294978920,1605663,애니메이션,12세이상관람가,일반영화
65,밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2023-07-26 00:00:00,개봉영화,장편,한국,1932,49685009003,5143219,10715377316,1082269,액션,15세이상관람가,일반영화
66,노량: 죽음의 바다,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트(주)에이스메이커무비웍스,2023-12-20 00:00:00,개봉영화,장편,한국,2196,45008253375,4573398,9861139267,970454,사극,12세이상관람가,일반영화
67,가디언즈 오브 갤럭시: Volume 3,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-05-03 00:00:00,개봉영화,장편,미국,1819,44355754061,4208993,13547092538,1235431,액션,12세이상관람가,일반영화
68,미션 임파서블: 데드 레코닝 PART ONE,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2023-07-12 00:00:00,개봉영화,장편,미국,2437,40426400113,4021778,11155001710,1067176,액션,15세이상관람가,일반영화
69,콘크리트 유토피아,엄태화,클라이맥스 스튜디오(주)(주)비에이치 엔터테인먼트,,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09 00:00:00,개봉영화,장편,한국,1731,37388022232,3847066,8918633541,894336,드라마,15세이상관람가,일반영화
70,오펜하이머,크리스토퍼 놀란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-08-15 00:00:00,개봉영화,장편,미국,1636,34375467901,3232774,11970590134,1070726,스릴러,15세이상관람가,일반영화
71,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-04-26 00:00:00,개봉영화,장편,미국,1526,23548177482,2394076,5765317428,556377,애니메이션,전체관람가,일반영화
72,30일,남대중,(주)영화사울림,,(주)마인드마크,2023-10-03 00:00:00,개봉영화,장편,한국,1226,21079830749,2146902,4954795858,495022,코미디,12세이상관람가,일반영화
